episode,model,avg_payoff
172,DQN,1.938953488372093
173,DQN,1.9335260115606936
174,DQN,1.9252873563218391
175,DQN,1.9314285714285715
176,DQN,1.9232954545454546
177,DQN,1.9180790960451977
178,DQN,1.9185393258426966
179,DQN,1.910614525139665
180,DQN,1.9055555555555554
181,DQN,1.9171270718232045
182,DQN,1.9175824175824177
183,DQN,1.9180327868852458
184,DQN,1.9184782608695652
185,DQN,1.9297297297297298
186,DQN,1.946236559139785
187,DQN,1.9411764705882353
188,DQN,1.9361702127659575
189,DQN,1.9312169312169312
190,DQN,1.9263157894736842
191,DQN,1.9214659685863875
192,DQN,1.9166666666666667
193,DQN,1.9430051813471503
194,DQN,1.9355670103092784
195,DQN,1.9282051282051282
196,DQN,1.9209183673469388
197,DQN,1.916243654822335
198,DQN,1.8762626262626263
199,DQN,1.8693467336683418
200,DQN,1.865
1,Random,2.0
2,Random,-2.0
3,Random,-0.6666666666666666
4,Random,-0.75
5,Random,0.0
6,Random,-0.16666666666666666
7,Random,-0.2857142857142857
8,Random,-0.3125
9,Random,-0.16666666666666666
10,Random,-0.45
11,Random,-0.5909090909090909
12,Random,-0.625
13,Random,-0.5384615384615384
14,Random,-0.42857142857142855
15,Random,-0.5333333333333333
16,Random,-0.46875
17,Random,-0.38235294117647056
18,Random,-0.3055555555555556
19,Random,-0.23684210526315788
20,Random,-0.175
21,Random,-0.21428571428571427
22,Random,-0.29545454545454547
23,Random,-0.2391304347826087
24,Random,-0.20833333333333334
25,Random,-0.22
26,Random,-0.19230769230769232
27,Random,-0.14814814814814814
28,Random,-0.17857142857142858
29,Random,0.034482758620689655
30,Random,0.0
31,Random,0.06451612903225806
32,Random,0.09375
33,Random,0.18181818181818182
34,Random,0.20588235294117646
35,Random,0.14285714285714285
36,Random,0.1527777777777778
37,Random,0.16216216216216217
38,Random,0.14473684210526316
39,Random,0.038461538461538464
40,Random,0.0875
41,Random,0.07317073170731707
42,Random,0.08333333333333333
43,Random,0.05813953488372093
44,Random,0.06818181818181818
45,Random,0.05555555555555555
46,Random,0.03260869565217391
47,Random,0.010638297872340425
48,Random,0.07291666666666667
49,Random,0.061224489795918366
50,Random,0.04
51,Random,0.0784313725490196
52,Random,0.0673076923076923
53,Random,0.14150943396226415
54,Random,0.12962962962962962
55,Random,0.13636363636363635
56,Random,0.09821428571428571
57,Random,0.08771929824561403
58,Random,-0.06896551724137931
59,Random,-0.059322033898305086
60,Random,-0.075
61,Random,-0.02459016393442623
62,Random,0.008064516129032258
63,Random,0.023809523809523808
64,Random,0.0703125
65,Random,0.07692307692307693
66,Random,0.06818181818181818
67,Random,0.07462686567164178
68,Random,0.0661764705882353
69,Random,0.057971014492753624
70,Random,0.07142857142857142
71,Random,0.11267605633802817
72,Random,0.09722222222222222
73,Random,0.1095890410958904
74,Random,0.10135135135135136
75,Random,0.09333333333333334
76,Random,0.07894736842105263
77,Random,0.08441558441558442
78,Random,0.07692307692307693
79,Random,0.08227848101265822
80,Random,0.06875
81,Random,0.08024691358024691
82,Random,0.06707317073170732
83,Random,0.09036144578313253
84,Random,0.05357142857142857
85,Random,0.17058823529411765
86,Random,0.18023255813953487
87,Random,0.1896551724137931
88,Random,0.18181818181818182
89,Random,0.19101123595505617
90,Random,0.2111111111111111
91,Random,0.21428571428571427
92,Random,0.20108695652173914
93,Random,0.1881720430107527
94,Random,0.19148936170212766
95,Random,0.19473684210526315
96,Random,0.171875
97,Random,0.17525773195876287
98,Random,0.15306122448979592
99,Random,0.20202020202020202
100,Random,0.21
101,Random,0.21782178217821782
102,Random,0.23529411764705882
103,Random,0.22815533980582525
104,Random,0.27403846153846156
105,Random,0.28095238095238095
106,Random,0.27358490566037735
107,Random,0.2616822429906542
108,Random,0.25462962962962965
109,Random,0.2706422018348624
110,Random,0.2772727272727273
111,Random,0.26576576576576577
112,Random,0.25892857142857145
113,Random,0.252212389380531
114,Random,0.24561403508771928
115,Random,0.23478260869565218
116,Random,0.22844827586206898
117,Random,0.24358974358974358
118,Random,0.2330508474576271
119,Random,0.20588235294117646
120,Random,0.2125
121,Random,0.2066115702479339
122,Random,0.1885245901639344
123,Random,0.17886178861788618
124,Random,0.18548387096774194
125,Random,0.188
126,Random,0.18253968253968253
127,Random,0.2047244094488189
128,Random,0.2109375
129,Random,0.21705426356589147
130,Random,0.21923076923076923
131,Random,0.20229007633587787
132,Random,0.19318181818181818
133,Random,0.16917293233082706
134,Random,0.16417910447761194
135,Random,0.13333333333333333
136,Random,0.13970588235294118
137,Random,0.16058394160583941
138,Random,0.15579710144927536
139,Random,0.1510791366906475
140,Random,0.11428571428571428
141,Random,0.10638297872340426
142,Random,0.09154929577464789
143,Random,0.08391608391608392
144,Random,0.09027777777777778
145,Random,0.09655172413793103
146,Random,0.09931506849315068
147,Random,0.09183673469387756
148,Random,0.125
149,Random,0.09060402684563758
150,Random,0.07666666666666666
151,Random,0.10927152317880795
152,Random,0.11513157894736842
153,Random,0.10784313725490197
154,Random,0.11363636363636363
155,Random,0.11612903225806452
156,Random,0.11217948717948718
157,Random,0.10828025477707007
158,Random,0.13291139240506328
159,Random,0.14465408805031446
160,Random,0.13125
161,Random,0.12732919254658384
162,Random,0.12345679012345678
163,Random,0.12883435582822086
164,Random,0.10975609756097561
165,Random,0.11212121212121212
166,Random,0.10542168674698796
167,Random,0.11077844311377245
168,Random,0.12202380952380952
169,Random,0.1390532544378698
170,Random,0.1323529411764706
171,Random,0.1286549707602339
172,Random,0.13372093023255813
173,Random,0.12138728323699421
174,Random,0.11781609195402298
175,Random,0.11142857142857143
176,Random,0.10511363636363637
177,Random,0.08757062146892655
178,Random,0.08426966292134831
179,Random,0.0782122905027933
180,Random,0.08333333333333333
181,Random,0.09392265193370165
182,Random,0.08791208791208792
183,Random,0.09836065573770492
184,Random,0.09239130434782608
185,Random,0.0945945945945946
186,Random,0.0913978494623656
187,Random,0.0748663101604278
188,Random,0.07180851063829788
189,Random,0.06878306878306878
190,Random,0.06315789473684211
191,Random,0.06806282722513089
192,Random,0.06510416666666667
193,Random,0.04922279792746114
194,Random,0.03865979381443299
195,Random,0.04871794871794872
196,Random,0.04591836734693878
197,Random,0.050761421319796954
198,Random,0.06565656565656566
199,Random,0.06281407035175879
200,Random,0.0725
